id,BHK,Bathroom,Parking,Price,Per_Sqft,Furnishing
0,3,2.0,1.0,6500000,12500.0,1
1,2,2.0,1.0,5000000,6667.0,1
2,2,2.0,1.0,15500000,6667.0,0
3,2,2.0,1.0,4200000,6667.0,1
4,2,2.0,1.0,6200000,6667.0,1
5,4,3.0,1.0,15500000,6667.0,1
6,4,3.0,1.0,10000000,6667.0,1
7,2,2.0,1.0,4000000,6154.0,1
8,3,3.0,1.0,6800000,6154.0,2
9,4,4.0,1.0,15000000,6154.0,1
10,3,2.0,1.0,6200000,6154.0,1
11,3,2.0,1.0,7700000,6154.0,1
12,2,2.0,1.0,5500000,6154.0,1
13,2,2.0,1.0,5000000,6154.0,1
14,2,2.0,1.0,3310000,6154.0,1
15,2,2.0,1.0,4700000,6154.0,1
16,2,2.0,1.0,4500000,6154.0,1
17,4,3.0,1.0,17000000,6154.0,1
18,3,3.0,1.0,25000000,6154.0,1
19,2,2.0,1.0,6000000,6154.0,1
20,2,2.0,1.0,11000000,6154.0,1
21,3,2.0,5.0,4500000,6154.0,1
22,1,1.0,2.0,5300000,6154.0,0
23,2,2.0,1.0,10500000,6154.0,1
24,2,2.0,1.0,12000000,6154.0,1
25,3,3.0,1.0,7000000,6364.0,0
26,3,2.0,1.0,7000000,8750.0,1
27,1,1.0,1.0,3400000,8750.0,1
28,2,2.0,1.0,5000000,8750.0,0
29,4,4.0,1.0,21000000,9722.0,0
30,1,2.0,1.0,13500000,15687.005888125614,2
31,2,2.0,1.0,15000000,15687.005888125614,2
32,2,2.0,1.0,10500000,15687.005888125614,2
33,3,2.0,1.0,22500000,15687.005888125614,1
34,2,2.0,1.0,13600000,15687.005888125614,2
35,3,3.0,2.0,30000000,15687.005888125614,1
36,2,2.0,1.0,13500000,15687.005888125614,1
37,2,2.0,1.0,8910000,15687.005888125614,1
38,3,4.0,1.0,25000000,15687.005888125614,2
39,3,3.0,4.0,26000000,15687.005888125614,1
40,3,3.0,1.0,30000000,15687.005888125614,1
41,2,2.0,1.0,12500000,15687.005888125614,0
42,3,3.0,1.0,21000000,15687.005888125614,1
43,2,2.0,1.0,7800000,15687.005888125614,2
44,2,2.0,1.0,11500000,15687.005888125614,1
45,2,2.0,1.0,11500000,15687.005888125614,1
46,3,3.0,2.0,26000000,15687.005888125614,1
47,2,2.0,2.0,13000000,14444.0,1
48,3,3.0,1.0,22000000,22000.0,1
49,2,2.0,1.0,15800000,22000.0,1
50,4,4.0,2.0,57500000,22000.0,2
51,2,2.0,2.0,10000000,22000.0,2
52,3,3.0,2.0,30000000,22000.0,2
53,3,3.0,2.0,22000000,22000.0,2
54,3,3.0,2.0,24000000,22000.0,1
55,3,3.0,1.0,31500000,22000.0,1
56,2,2.0,1.0,14600000,22000.0,1
57,4,5.0,1.0,240000000,22000.0,1
58,2,2.0,1.0,8300000,22000.0,1
59,3,3.0,1.0,22500000,22000.0,2
60,1,1.0,2.0,4600000,15687.005888125614,0
61,2,1.0,2.0,1900000,2235.0,1
62,3,2.0,1.0,5130000,3800.0,2
63,4,4.0,1.0,5890000,4247.0,2
64,3,2.0,1.0,3700000,3524.0,2
65,3,2.0,1.0,17400000,3524.0,2
66,3,3.0,1.0,15500000,3524.0,1
67,2,1.0,1.0,2400000,3524.0,1
68,3,2.0,1.0,17200000,3524.0,1
69,3,2.0,2.0,14200000,3524.0,0
70,3,3.0,1.0,13500000,3524.0,1
71,4,4.0,1.0,30000000,3524.0,1
72,4,3.0,1.0,21000000,3524.0,2
73,4,3.0,1.0,20500000,3524.0,2
74,3,4.0,1.0,24000000,3524.0,1
75,4,2.0,1.0,16500000,3524.0,1
76,3,2.0,1.0,14900000,3524.0,1
77,4,3.0,1.0,19200000,3524.0,0
78,3,3.0,1.0,14500000,3524.0,1
79,3,3.0,1.0,15600000,3524.0,1
80,3,2.0,1.0,11400000,3524.0,2
81,4,4.0,1.0,31500000,3524.0,0
82,3,2.0,2.0,15800000,3524.0,0
83,3,3.0,2.0,16000000,3524.0,1
84,3,3.0,1.0,14500000,3524.0,1
85,2,2.0,1.0,10500000,3524.0,2
86,3,2.0,1.0,14800000,3524.0,1
87,1,1.0,1.0,1850000,3524.0,1
88,3,2.0,1.0,6800000,3524.0,1
89,3,3.0,1.0,14200000,3524.0,1
90,1,1.0,1.0,8900000,15687.005888125614,1
91,3,3.0,2.0,37500000,15687.005888125614,1
92,3,3.0,2.0,30000000,15687.005888125614,1
93,3,3.0,2.0,21000000,15687.005888125614,1
94,4,4.0,2.0,57500000,15687.005888125614,2
95,3,3.0,1.0,30000000,15687.005888125614,1
96,3,3.0,1.0,30000000,15687.005888125614,2
97,3,3.0,1.0,31500000,15687.005888125614,1
98,3,3.0,1.0,30000000,15687.005888125614,2
99,3,3.0,1.0,41500000,15687.005888125614,2
100,3,3.0,1.0,24800000,15687.005888125614,1
101,3,3.0,2.0,35000000,15687.005888125614,1
102,3,3.0,1.0,40000000,26666.0,1
103,4,5.0,1.0,46000000,15972.0,2
104,4,4.0,2.0,55000000,183333.0,1
105,3,3.0,1.0,24500000,183333.0,2
106,3,3.0,1.0,24500000,183333.0,2
107,3,3.0,1.0,32500000,183333.0,1
108,2,2.0,1.0,20000000,20000.0,0
109,4,5.0,1.0,240000000,20000.0,1
110,2,2.0,1.0,20000000,20000.0,0
111,3,3.0,2.0,19000000,20000.0,0
112,3,3.0,2.0,26000000,20000.0,2
113,3,3.0,1.0,21000000,15556.0,2
114,3,3.0,1.0,27500000,16176.0,1
115,3,3.0,2.0,32500000,16176.0,1
116,3,3.0,1.0,45000000,16176.0,1
117,3,3.0,1.0,21000000,15556.0,1
118,3,3.0,1.0,28000000,15556.0,2
119,3,3.0,2.0,29500000,15556.0,2
120,1,2.0,1.0,13500000,15687.005888125614,2
121,2,2.0,1.0,14000000,15687.005888125614,2
122,3,3.0,4.0,26000000,15687.005888125614,1
123,2,2.0,4.0,12500000,9259.0,0
124,3,3.0,2.0,26000000,9259.0,1
125,2,2.0,2.0,11500000,9259.0,1
126,2,2.0,2.0,14600000,9259.0,1
127,3,3.0,1.0,25500000,9259.0,1
128,3,3.0,2.0,31000000,18507.0,1
129,3,3.0,2.0,22000000,18507.0,1
130,2,2.0,2.0,13400000,18507.0,1
131,3,3.0,2.0,35000000,18507.0,1
132,2,2.0,2.0,11000000,18507.0,0
133,2,2.0,2.0,6300000,7000.0,2
134,2,2.0,2.0,12500000,7000.0,0
135,2,2.0,1.0,14500000,7000.0,2
136,2,3.0,1.0,22500000,7000.0,1
137,2,2.0,1.0,15500000,7000.0,1
138,3,3.0,1.0,26000000,7000.0,1
139,2,2.0,1.0,15800000,7000.0,1
140,2,2.0,1.0,15000000,7000.0,2
141,2,2.0,1.0,13000000,7000.0,2
142,2,2.0,1.0,15000000,7000.0,2
143,3,3.0,1.0,25000000,7000.0,1
144,2,2.0,1.0,16500000,7000.0,1
145,2,2.0,1.0,10300000,7000.0,2
146,3,3.0,1.0,26000000,7000.0,1
147,2,2.0,1.0,11000000,7000.0,2
148,3,3.0,1.0,28500000,7000.0,2
149,2,2.0,1.0,11000000,7000.0,2
150,2,1.0,1.0,11000000,15687.005888125614,0
151,3,2.0,1.0,4500000,15687.005888125614,1
152,2,1.0,1.0,3600000,72000.0,2
153,3,2.0,1.0,4300000,43000.0,0
154,3,2.0,1.0,4000000,4444.0,1
155,2,2.0,1.0,1650000,3300.0,1
156,1,1.0,1.0,2000000,4444.0,0
157,2,2.0,1.0,3000000,40000.0,1
158,2,1.0,1.0,1400000,5185.0,1
159,2,1.0,1.0,2000000,4000.0,1
160,2,2.0,1.0,2000000,4000.0,2
161,1,1.0,1.0,2000000,4000.0,0
162,3,4.0,1.0,2600000,3567.0,0
163,6,3.0,1.0,5100000,1259.0,0
164,6,4.0,1.0,6000000,2500.0,0
165,2,2.0,1.0,4000000,2500.0,0
166,2,3.0,1.0,6200000,2500.0,0
167,1,2.0,1.0,3500000,5255.0,0
168,2,2.0,1.0,7600000,5255.0,1
169,4,3.0,1.0,13500000,5255.0,1
170,4,3.0,1.0,12500000,5255.0,1
171,3,2.0,1.0,6500000,5255.0,1
172,4,4.0,2.0,22000000,5255.0,2
173,3,2.0,1.0,6000000,5255.0,1
174,3,2.0,1.0,7300000,5255.0,1
175,3,2.0,1.0,7600000,5255.0,1
176,4,4.0,1.0,20000000,5255.0,1
177,4,4.0,1.0,15000000,5255.0,1
178,3,2.0,1.0,6200000,5255.0,1
179,3,2.0,1.0,6200000,5255.0,0
180,1,1.0,1.0,2300000,15687.005888125614,1
181,2,2.0,1.0,5000000,6667.0,1
182,2,2.0,1.0,4700000,6528.0,1
183,2,2.0,1.0,5500000,6875.0,1
184,1,1.0,1.0,2000000,5714.0,1
185,3,2.0,1.0,7300000,7449.0,1
186,4,3.0,1.0,13000000,8125.0,1
187,3,3.0,1.0,11500000,7931.0,1
188,2,2.0,1.0,2800000,7931.0,1
189,1,1.0,1.0,2200000,5789.0,1
190,2,2.0,1.0,4400000,6471.0,1
191,3,3.0,1.0,13500000,8438.0,1
192,2,2.0,1.0,4100000,6508.0,1
193,3,2.0,1.0,12000000,8000.0,1
194,2,2.0,1.0,3500000,6364.0,1
195,4,3.0,1.0,15000000,6000.0,1
196,5,4.0,1.0,17500000,6250.0,1
197,1,1.0,1.0,1900000,6333.0,1
198,3,2.0,1.0,5500000,6875.0,1
199,3,2.0,1.0,10000000,6875.0,1
200,3,2.0,1.0,4700000,6714.0,1
201,1,1.0,1.0,2400000,6714.0,1
202,2,2.0,1.0,3800000,6714.0,1
203,4,4.0,1.0,23000000,6714.0,1
204,4,4.0,1.0,24500000,6714.0,1
205,3,2.0,1.0,10000000,6714.0,1
206,3,2.0,1.0,5500000,6714.0,1
207,3,2.0,1.0,7000000,6714.0,1
208,3,2.0,1.0,6500000,6714.0,1
209,5,4.0,1.0,135000000,28797.0,2
210,2,2.0,1.0,5000000,6667.0,1
211,4,4.0,1.0,93000000,23840.0,2
212,3,2.0,1.0,4370000,4600.0,0
213,3,2.0,1.0,4620000,4620.0,2
214,2,1.0,1.0,1900000,2235.0,1
215,4,4.0,1.0,70000000,2235.0,1
216,3,2.0,1.0,5130000,3800.0,2
217,2,2.0,1.0,3000000,5000.0,1
218,4,4.0,1.0,5890000,4247.0,2
219,2,2.0,1.0,3300000,6111.0,1
220,2,2.0,1.0,24900000,25512.0,0
221,3,2.0,1.0,3700000,3524.0,2
222,4,3.0,1.0,60000000,22222.0,1
223,3,2.0,1.0,17400000,22222.0,2
224,5,5.0,1.0,51000000,22222.0,0
225,5,6.0,4.0,170000000,22222.0,2
226,3,2.0,1.0,5510000,22222.0,1
227,3,3.0,2.0,25000000,22222.0,0
228,3,3.0,1.0,57000000,24718.0,2
229,2,2.0,1.0,2940000,24718.0,1
230,3,3.0,1.0,15500000,24718.0,1
231,3,2.0,1.0,17200000,24718.0,1
232,4,3.0,2.0,55000000,30556.0,1
233,2,2.0,1.0,15000000,30556.0,1
234,4,4.0,2.0,51000000,30556.0,1
235,4,3.0,1.0,13000000,30556.0,1
236,3,3.0,1.0,30000000,18750.0,1
237,2,2.0,1.0,2400000,18750.0,1
238,4,3.0,1.0,5500000,18750.0,2
239,4,4.0,2.0,45000000,15687.005888125614,1
240,4,4.0,2.0,60000000,120000.0,1
241,4,4.0,2.0,65000000,120000.0,1
242,5,5.0,9.0,220000000,120000.0,1
243,4,4.0,2.0,60000000,120000.0,2
244,3,3.0,2.0,38500000,120000.0,1
245,3,3.0,2.0,50000000,120000.0,1
246,4,4.0,2.0,75000000,120000.0,1
247,4,4.0,2.0,70000000,120000.0,0
248,4,7.0,3.0,160000000,15459.0,1
249,3,4.0,1.0,85000000,15459.0,1
250,3,3.0,2.0,40000000,15459.0,1
251,4,4.0,2.0,90000000,15459.0,2
252,4,5.0,2.0,56000000,15459.0,1
253,5,5.0,2.0,135500000,15459.0,1
254,3,3.0,2.0,60000000,15459.0,1
255,4,5.0,4.0,170000000,15459.0,2
256,4,4.0,2.0,50000000,15459.0,1
257,4,5.0,2.0,58000000,15459.0,1
258,3,3.0,2.0,37500000,15459.0,1
259,3,3.0,1.0,45000000,15459.0,2
260,4,4.0,3.0,70000000,15459.0,1
261,6,4.0,2.0,29500000,15459.0,1
262,4,4.0,1.0,60000000,23529.0,2
263,4,4.0,2.0,70000000,23529.0,1
264,3,3.0,2.0,50000000,23529.0,1
265,4,5.0,2.0,75000000,23529.0,1
266,4,4.0,2.0,52500000,23529.0,1
267,4,4.0,2.0,55000000,23529.0,1
268,4,4.0,2.0,120000000,16667.0,1
269,4,4.0,1.0,65000000,15687.005888125614,1
270,4,4.0,2.0,75000000,15687.005888125614,2
271,4,4.0,2.0,47500000,15687.005888125614,1
272,5,5.0,1.0,70000000,20000.0,1
273,4,4.0,2.0,47500000,20000.0,1
274,4,4.0,1.0,40000000,20000.0,1
275,4,4.0,3.0,85000000,20000.0,1
276,3,3.0,3.0,26000000,20000.0,1
277,4,4.0,3.0,35000000,11111.0,1
278,2,2.0,3.0,20000000,11111.0,1
279,4,5.0,3.0,79000000,21409.0,1
280,3,2.0,3.0,17000000,21409.0,1
281,4,4.0,2.0,47500000,95000.0,1
282,4,4.0,2.0,43000000,15363.0,1
283,3,3.0,1.0,26000000,19259.0,2
284,3,3.0,1.0,25000000,20833.0,2
285,4,5.0,2.0,51000000,20833.0,1
286,3,3.0,2.0,40000000,20833.0,1
287,3,3.0,1.0,22500000,20833.0,2
288,4,4.0,1.0,70000000,20833.0,1
289,4,4.0,2.0,45000000,20930.0,2
290,4,4.0,2.0,51100000,20930.0,1
291,3,3.0,1.0,25500000,20930.0,1
292,3,3.0,2.0,26500000,20930.0,2
293,2,2.0,1.0,15000000,20930.0,2
294,4,4.0,2.0,55000000,20930.0,1
295,3,3.0,2.0,26000000,20930.0,1
296,4,4.0,2.0,38000000,20930.0,1
297,4,5.0,2.0,72500000,20930.0,1
298,4,5.0,4.0,65000000,20930.0,1
299,2,2.0,1.0,4600000,15687.005888125614,2
300,2,2.0,1.0,9200000,15687.005888125614,1
301,4,3.0,2.0,9500000,15687.005888125614,2
302,2,2.0,1.0,4500000,15687.005888125614,1
303,3,2.0,1.0,6500000,15687.005888125614,1
304,3,2.0,1.0,5650000,15687.005888125614,0
305,3,3.0,1.0,9300000,6526.0,1
306,2,2.0,1.0,2700000,6526.0,2
307,2,2.0,1.0,6500000,6526.0,0
308,2,2.0,1.0,5800000,6526.0,1
309,3,2.0,1.0,5500000,6526.0,1
310,3,2.0,1.0,6000000,6526.0,1
311,2,2.0,1.0,4500000,6526.0,2
312,2,2.0,2.0,4100000,6526.0,1
313,3,2.0,2.0,3800000,6526.0,1
314,2,1.0,1.0,3300000,6526.0,2
315,2,1.0,1.0,2900000,6526.0,2
316,2,1.0,1.0,2000000,6526.0,2
317,2,1.0,1.0,1550000,6526.0,2
318,4,3.0,1.0,11300000,6526.0,1
319,3,2.0,1.0,4500000,6526.0,1
320,2,1.0,1.0,3300000,3901.0,2
321,4,3.0,1.0,11500000,3901.0,0
322,3,2.0,1.0,6000000,3901.0,1
323,3,2.0,1.0,9000000,3901.0,1
324,2,2.0,1.0,4500000,3901.0,0
325,4,3.0,1.0,14000000,3901.0,0
326,2,2.0,1.0,7300000,6347.0,1
327,1,1.0,1.0,1900000,41304.0,0
328,3,2.0,4.0,7000000,41304.0,0
329,3,2.0,1.0,6000000,15687.005888125614,1
330,1,2.0,1.0,6400000,15687.005888125614,1
331,2,1.0,1.0,2700000,5000.0,0
332,2,2.0,1.0,6500000,8701.0,0
333,2,1.0,1.0,4000000,5556.0,2
334,1,1.0,1.0,3000000,85715.0,1
335,2,2.0,1.0,5000000,4444.0,2
336,2,2.0,1.0,6000000,4444.0,1
337,1,1.0,1.0,2500000,6944.0,2
338,2,2.0,1.0,6500000,7222.0,1
339,3,1.0,1.0,8000000,11220.0,2
340,2,1.0,1.0,2700000,5357.0,0
341,1,2.0,1.0,4500000,5357.0,2
342,3,2.0,1.0,5700000,6706.0,0
343,4,3.0,1.0,25000000,10288.0,0
344,3,3.0,1.0,70000000,28283.0,0
345,7,4.0,1.0,26500000,8923.0,0
346,3,2.0,1.0,18500000,8222.0,0
347,5,3.0,1.0,30000000,20000.0,0
348,2,2.0,1.0,22000000,14550.0,0
349,2,2.0,1.0,9000000,14550.0,0
350,3,3.0,1.0,65000000,30093.0,0
351,3,2.0,1.0,22500000,35714.0,0
352,6,3.0,1.0,8700000,35714.0,0
353,6,5.0,1.0,22000000,35714.0,0
354,4,2.0,2.0,18500000,35714.0,0
355,2,1.0,2.0,16000000,22857.0,0
356,4,3.0,2.0,16000000,22857.0,0
357,4,2.0,2.0,9000000,12500.0,0
358,2,2.0,1.0,4500000,12500.0,0
359,3,2.0,1.0,6000000,15687.005888125614,1
360,1,2.0,1.0,2700000,15687.005888125614,2
361,3,2.0,1.0,6500000,15687.005888125614,2
362,3,2.0,1.0,4000000,4040.0,2
363,2,1.0,1.0,2600000,4040.0,1
364,2,1.0,1.0,3500000,7778.0,1
365,2,2.0,1.0,7500000,7778.0,2
366,3,2.0,1.0,7000000,7778.0,1
367,3,2.0,1.0,4500000,7778.0,1
368,3,3.0,2.0,5500000,7778.0,1
369,2,1.0,2.0,2700000,7778.0,1
370,2,2.0,2.0,2400000,32000.0,0
371,4,3.0,2.0,11500000,32000.0,2
372,2,2.0,2.0,3600000,32000.0,2
373,1,2.0,2.0,1700000,32000.0,2
374,2,1.0,2.0,2500000,32000.0,2
375,4,2.0,1.0,6600000,32000.0,0
376,2,1.0,1.0,3700000,32000.0,1
377,2,1.0,1.0,3500000,32000.0,2
378,3,2.0,1.0,5400000,32000.0,1
379,2,2.0,1.0,2550000,5666.0,1
380,3,3.0,1.0,12500000,5666.0,0
381,2,2.0,1.0,5600000,5666.0,2
382,2,2.0,1.0,7000000,11667.0,2
383,2,1.0,1.0,3500000,11667.0,2
384,4,4.0,1.0,35000000,112179.0,0
385,3,2.0,1.0,9000000,11111.0,1
386,1,1.0,1.0,2300000,11111.0,1
387,3,2.0,1.0,6000000,11111.0,1
388,3,2.0,1.0,6000000,11111.0,2
389,2,2.0,1.0,2650000,15687.005888125614,1
390,3,2.0,1.0,4370000,4600.0,0
391,3,2.0,1.0,4620000,4620.0,2
392,2,2.0,1.0,3000000,5000.0,1
393,2,2.0,1.0,3300000,6111.0,1
394,3,2.0,1.0,5510000,6111.0,1
395,2,2.0,1.0,3200000,6111.0,1
396,2,2.0,1.0,2600000,6111.0,1
397,3,2.0,1.0,4000000,6111.0,1
398,2,1.0,1.0,1850000,6111.0,1
399,1,1.0,1.0,1700000,6111.0,1
400,3,2.0,1.0,2800000,6111.0,1
401,2,2.0,1.0,2150000,6111.0,1
402,4,3.0,1.0,6800000,6111.0,1
403,3,2.0,1.0,6200000,6111.0,1
404,2,2.0,1.0,3100000,6111.0,1
405,3,2.0,1.0,3400000,6111.0,1
406,2,2.0,1.0,4000000,6111.0,2
407,2,2.0,1.0,4800000,6584.0,1
408,2,2.0,1.0,2500000,6584.0,1
409,1,1.0,1.0,2000000,6584.0,1
410,2,2.0,1.0,1900000,6584.0,1
411,3,2.0,1.0,5800000,5794.0,0
412,2,2.0,1.0,2900000,5794.0,2
413,2,1.0,1.0,2000000,5794.0,1
414,2,2.0,1.0,2600000,5794.0,1
415,2,1.0,1.0,2900000,5794.0,2
416,2,2.0,1.0,3200000,5794.0,2
417,3,2.0,1.0,5400000,5794.0,1
418,3,2.0,1.0,3800000,5794.0,1
419,5,4.0,1.0,135000000,28797.0,2
420,4,4.0,1.0,93000000,23840.0,2
421,2,3.0,1.0,8200000,23840.0,0
422,3,2.0,1.0,8000000,23840.0,2
423,3,2.0,1.0,9500000,23840.0,1
424,4,5.0,1.0,20000000,23840.0,1
425,2,2.0,3.0,7400000,23840.0,0
426,3,3.0,1.0,37500000,23840.0,1
427,4,4.0,3.0,15000000,7500.0,1
428,3,3.0,1.0,55300000,7500.0,1
429,3,3.0,2.0,26500000,7500.0,1
430,3,2.0,2.0,16000000,160000.0,1
431,3,2.0,2.0,10400000,11556.0,0
432,1,1.0,2.0,1700000,11556.0,2
433,2,2.0,2.0,8000000,8421.0,1
434,3,3.0,2.0,27000000,8421.0,1
